"section_type","Designation","m","A","Ix","Iy","Zx","Zy","Zplx","rx","ry","J","Iu","Iv","ru","rv","h","b","t","c","source_row"
"Equal Angles","25x25x3","1.11","0.142","0.008",,"0.448",,,"7.49",,"0.476","0.013","0.003","9.43","4.83","25","25","3",,"146"
"Equal Angles","25x25x5","1.77","0.226","0.012",,"0.708",,,"7.3",,"1.98","0.019","0.005","9.14","4.8","25","25","5",,"147"
"Equal Angles","30x30x3","1.36","0.174","0.014",,"0.649",,,"8.99",,"0.635","0.022","0.006","11.3","5.81","30","30","3",,"149"
"Equal Angles","30x30x5","2.18","0.278","0.022",,"1.04",,,"8.83",,"2.58","0.034","0.009","11.1","5.75","30","30","5",,"150"
"Equal Angles","40x40x3","1.85","0.235","0.035",,"1.18",,,"12.1",,"0.882","0.055","0.014","15.3","7.84","40","40","3",,"152"
"Equal Angles","40x40x4","2.42","0.308","0.045",,"1.55",,,"12.1",,"1.92","0.071","0.019","15.2","7.77","40","40","4",,"153"
"Equal Angles","40x40x5","2.97","0.379","0.054",,"1.91",,,"12",,"3.56","0.086","0.023","15.1","7.73","40","40","5",,"154"
"Equal Angles","40x40x6","3.52","0.448","0.063",,"2.26",,,"11.9",,"5.92","0.1","0.027","14.9","7.7","40","40","6",,"155"
"Equal Angles","45x45x3","2.1","0.268","0.05",,"1.52",,,"13.7",,"1.06","0.079","0.021","17.2","8.88","45","45","3",,"157"
"Equal Angles","45x45x4","2.74","0.349","0.064",,"1.97",,,"13.6",,"2.27","0.102","0.027","17.1","8.76","45","45","4",,"158"
"Equal Angles","45x45x5","3.38","0.43","0.078",,"2.43",,,"13.5",,"4.17","0.124","0.033","17","8.71","45","45","5",,"159"
"Equal Angles","45x45x6","4","0.509","0.092",,"2.88",,,"13.4",,"6.9","0.145","0.038","16.9","8.67","45","45","6",,"160"
"Equal Angles","50x50x3","2.34","0.298","0.07",,"1.89",,,"15.3",,"1.15","0.11","0.029","19.2","9.92","50","50","3",,"163"
"Equal Angles","50x50x4","3.06","0.389","0.09",,"2.46",,,"15.2",,"2.48","0.142","0.037","19.1","9.79","50","50","4",,"164"
"Equal Angles","50x50x5","3.77","0.48","0.11",,"3.05",,,"15.1",,"4.58","0.174","0.046","19","9.73","50","50","5",,"165"
"Equal Angles","50x50x6","4.47","0.569","0.128",,"3.61",,,"15",,"7.62","0.203","0.053","18.9","9.68","50","50","6",,"166"
"Equal Angles","50x50x8","5.82","0.741","0.163",,"4.68",,,"14.8",,"17","0.257","0.069","18.6","9.63","50","50","8",,"167"
"Equal Angles","60x60x4","3.7","0.471","0.158",,"3.59",,,"18.3",,"3.07","0.25","0.066","23","11.8","60","60","4",,"169"
"Equal Angles","60x60x5","4.57","0.582","0.194",,"4.45",,,"18.2",,"5.64","0.307","0.08","23","11.7","60","60","5",,"170"
"Equal Angles","60x60x6","5.42","0.691","0.228",,"5.29",,,"18.2",,"9.36","0.361","0.094","22.9","11.7","60","60","6",,"171"
"Equal Angles","60x60x8","7.09","0.903","0.292",,"6.89",,,"18",,"21","0.461","0.122","22.6","11.6","60","60","8",,"172"
"Equal Angles","60x60x10","8.69","1.11","0.349",,"8.41",,,"17.8",,"39.2","0.551","0.148","22.3","11.6","60","60","10",,"173"
"Equal Angles","70x70x6","6.38","0.813","0.369",,"7.27",,,"21.3",,"11.2","0.585","0.153","26.8","13.7","70","70","6",,"175"
"Equal Angles","70x70x8","8.36","1.06","0.475",,"9.52",,,"21.1",,"25","0.753","0.197","26.6","13.6","70","70","8",,"176"
"Equal Angles","70x70x10","10.3","1.31","0.572",,"11.7",,,"20.9",,"46.8","0.905","0.24","26.3","13.5","70","70","10",,"177"
"Equal Angles","80x80x6","7.34","0.935","0.558",,"9.57",,,"24.4",,"13","0.885","0.231","30.8","15.7","80","80","6",,"179"
"Equal Angles","80x80x8","9.63","1.23","0.722",,"12.6",,,"24.3",,"29.1","1.15","0.299","30.6","15.6","80","80","8",,"180"
"Equal Angles","80x80x10","11.9","1.51","0.875",,"15.4",,,"24.1",,"54.5","1.39","0.364","30.3","15.5","80","80","10",,"181"
"Equal Angles","80x80x12","14","1.79","1.02",,"18.2",,,"23.9",,"91.2","1.61","0.427","30","15.5","80","80","12",,"182"
"Equal Angles","90x90x6","8.3","1.06","0.803",,"12.2",,,"27.6",,"15","1.27","0.333","34.7","17.8","90","90","6",,"184"
"Equal Angles","90x90x8","10.9","1.39","1.04",,"16.1",,,"27.4",,"33.3","1.66","0.431","34.5","17.6","90","90","8",,"185"
"Equal Angles","90x90x10","13.4","1.71","1.27",,"19.8",,,"27.2",,"62.4","2.01","0.526","34.3","17.5","90","90","10",,"186"
"Equal Angles","90x90x12","15.9","2.03","1.48",,"23.3",,,"27",,"104","2.34","0.617","34","17.4","90","90","12",,"187"
"Equal Angles","100x100x8","12.2","1.55","1.45",,"19.9",,,"30.6",,"37.6","2.3","0.599","38.5","19.6","100","100","8",,"189"
"Equal Angles","100x100x10","15","1.92","1.77",,"24.6",,,"30.4",,"70.3","2.8","0.73","38.3","19.5","100","100","10",,"190"
"Equal Angles","100x100x12","17.8","2.27","2.07",,"29.1",,,"30.2",,"118","3.28","0.857","38","19.4","100","100","12",,"191"
"Equal Angles","100x100x15","21.9","2.79","2.49",,"35.6",,,"29.8",,"221","3.93","1.04","37.5","19.3","100","100","15",,"192"
"Equal Angles","120x120x8","14.7","1.87","2.55",,"29.1",,,"36.9",,"45.4","4.05","1.05","46.5","23.7","120","120","8",,"194"
"Equal Angles","120x120x10","18.2","2.32","3.13",,"36",,,"36.7",,"85.1","4.97","1.29","46.3","23.6","120","120","10",,"195"
"Equal Angles","120x120x12","21.6","2.75","3.68",,"42.7",,,"36.5",,"143","5.84","1.52","46","23.5","120","120","12",,"196"
"Equal Angles","120x120x15","26.6","3.39","4.45",,"52.4",,,"36.2",,"269","7.05","1.85","45.6","23.3","120","120","15",,"197"
"Equal Angles","150x150x10","23","2.93","6.24",,"56.9",,,"46.2",,"110","9.91","2.58","58.2","29.7","150","150","10",,"199"
"Equal Angles","150x150x12","27.3","3.48","7.37",,"67.7",,,"46",,"184","11.7","3.03","58","29.5","150","150","12",,"200"
"Equal Angles","150x150x15","33.8","4.3","8.98",,"83.5",,,"45.7",,"347","14.3","3.7","57.6","29.3","150","150","15",,"201"
"Equal Angles","150x150x18","40.1","5.1","10.5",,"98.7",,,"45.4",,"584","16.6","4.35","57.1","29.2","150","150","18",,"202"
"Equal Angles","200x200x16","48.5","6.18","23.4",,"162",,,"61.6",,"564","37.2","9.6","77.6","39.4","200","200","16",,"204"
"Equal Angles","200x200x18","54.2","6.91","26",,"181",,,"61.3",,"790","41.3","10.7","77.3","39.3","200","200","18",,"205"
"Equal Angles","200x200x20","59.9","7.63","28.5",,"199",,,"61.1",,"1070","45.3","11.7","77","39.2","200","200","20",,"206"
"Equal Angles","200x200x24","71.1","9.06","33.3",,"235",,,"60.6",,"1800","52.8","13.8","76.4","39","200","200","24",,"207"
"Unequal Angles","65x50x6","5.16","0.658","0.272","0.14","6.1","3.77",,"20.3","14.6","8.44","0.338","0.074","22.7","10.6","65","50","6",,"214"
"Unequal Angles","65x50x8","6.75","0.86","0.348","0.177","7.93","4.89",,"20.1","14.4","19.1","0.43","0.096","22.4","10.5","65","50","8",,"215"
"Unequal Angles","75x50x6","5.65","0.719","0.405","0.144","8.01","3.81",,"23.7","14.2","9.42","0.466","0.084","25.5","10.8","75","50","6",,"217"
"Unequal Angles","75x50x8","7.39","0.941","0.52","0.184","10.4","4.95",,"23.5","14","21.3","0.596","0.108","25.2","10.7","75","50","8",,"218"
"Unequal Angles","80x60x6","6.37","0.811","0.514","0.248","9.29","5.49",,"25.2","17.5","10.8","0.628","0.134","27.8","12.9","80","60","6",,"220"
"Unequal Angles","80x60x8","8.34","1.06","0.663","0.318","12.2","7.16",,"25","17.3","24.4","0.808","0.173","27.6","12.7","80","60","8",,"221"
"Unequal Angles","90x65x6","7.07","0.901","0.734","0.323","11.8","6.53",,"28.5","18.9","11.9","0.879","0.178","31.2","14.1","90","65","6",,"223"
"Unequal Angles","90x65x8","9.29","1.18","0.949","0.415","15.5","8.54",,"28.3","18.7","26.9","1.13","0.23","31","13.9","90","65","8",,"224"
"Unequal Angles","90x65x10","11.4","1.46","1.15","0.499","19","10.4",,"28.1","18.5","50.9","1.37","0.279","30.7","13.8","90","65","10",,"225"
"Unequal Angles","100x65x8","9.94","1.27","1.27","0.422","18.9","8.54",,"31.6","18.3","29.9","1.44","0.248","33.7","14","100","65","8",,"227"
"Unequal Angles","100x65x10","12.3","1.56","1.54","0.51","23.2","10.5",,"31.4","18.1","56.2","1.75","0.302","33.5","13.9","100","65","10",,"228"
"Unequal Angles","100x75x6","8.04","1.02","1.02","0.495","14.7","8.67",,"31.6","22","14.1","1.25","0.268","34.9","16.2","100","75","6",,"230"
"Unequal Angles","100x75x8","10.6","1.35","1.33","0.641","19.3","11.4",,"31.4","21.8","31.6","1.62","0.346","34.7","16","100","75","8",,"231"
"Unequal Angles","100x75x10","13","1.66","1.62","0.776","23.8","14",,"31.2","21.6","59.5","1.97","0.422","34.5","15.9","100","75","10",,"232"
"Unequal Angles","100x75x12","15.4","1.97","1.89","0.902","28","16.5",,"31","21.4","99.8","2.3","0.495","34.2","15.9","100","75","12",,"233"
"Unequal Angles","125x75x8","12.2","1.55","2.47","0.676","29.6","11.6",,"40","20.9","36.7","2.74","0.409","42.1","16.3","125","75","8",,"235"
"Unequal Angles","125x75x10","15","1.91","3.02","0.821","36.5","14.3",,"39.7","20.7","69","3.34","0.499","41.8","16.1","125","75","10",,"236"
"Unequal Angles","125x75x12","17.8","2.27","3.54","0.955","43.2","16.9",,"39.5","20.5","116","3.91","0.585","41.5","16.1","125","75","12",,"237"
"Unequal Angles","150x75x10","17","2.16","5.01","0.858","51.8","14.6",,"48.1","19.9","77.4","5.32","0.553","49.6","16","150","75","10",,"239"
"Unequal Angles","150x75x12","20.2","2.57","5.89","0.999","61.4","17.2",,"47.9","19.7","130","6.24","0.649","49.3","15.9","150","75","12",,"240"
"Unequal Angles","150x75x15","24.8","3.16","7.13","1.2","75.3","21",,"47.5","19.4","246","7.54","0.788","48.8","15.8","150","75","15",,"241"
"Unequal Angles","150x90x10","18.2","2.32","5.33","1.46","53.3","21",,"48","25.1","83.6","5.91","0.883","50.5","19.5","150","90","10",,"243"
"Unequal Angles","150x90x12","21.6","2.75","6.27","1.71","63.3","24.8",,"47.7","24.9","141","6.94","1.04","50.2","19.4","150","90","12",,"244"
"Unequal Angles","150x90x15","26.6","3.39","7.61","2.05","77.7","30.4",,"47.4","24.6","266","8.41","1.26","49.8","19.3","150","90","15",,"245"
"CHS","32.0x2.0","1.47969013984079","0.188495559215387","0.0212999981913388",,"1.33124988695867",,"1.80266666666667","10.6301458127346",,"0.0425999963826776",,,,,"32","2","2",,"253"
"CHS","32.0x2.5","1.81878579688764","0.231692458202247","0.0253848049517837",,"1.58655030948648",,"2.18083333333333","10.4672107077292",,"0.0507696099035674",,,,,"32","2.5","2.5",,"254"
"CHS","34.1x2.0","1.58474813976949","0.20187874391968","0.0261517989562019",,"1.53248162649879",,"2.06734046666667","11.3816568433598",,"0.0523035979124037",,,,,"34.1","2","2",,"256"
"CHS","34.1x2.5","1.95010829679851","0.248421439082613","0.0312609471040495",,"1.83187501342218",,"2.50635058333333","11.2177699432641",,"0.062521894208099",,,,,"34.1","2.5","2.5",,"257"
"CHS","34.1x3.0","2.64383635736054","0.336794440428094","0.0400131539802645",,"2.34474972049602",,"3.29798081666667","10.8998102047696",,"0.0800263079605291",,,,,"34.1","3","3",,"258"
"CHS","34.1x4.0","2.97220426089354","0.378624746610642","0.0437224924596411",,"2.56211499909998",,"3.65260093333333","10.7460277544775",,"0.0874449849192822",,,,,"34.1","4","4",,"259"
"CHS","38.0x2.0","1.78056046827509","0.226822989589183","0.0370631600276095",,"1.94557270486139",,"2.60908666666667","12.7828498387488",,"0.0741263200552191",,,,,"38","2","2",,"261"
"CHS","38.0x2.5","2.19487370743051","0.279601746169491","0.0445129474923658",,"2.33663766364125",,"3.17360833333333","12.6174977709528",,"0.0890258949847315",,,,,"38","2.5","2.5",,"262"
"CHS","38.0x3.0","2.59685619542059","0.330809706423005","0.0513172692210017",,"2.69381990661426",,"3.70503","12.4549688879579",,"0.102634538442003",,,,,"38","3","3",,"263"
"CHS","38.0x4.0","3.36382891790474","0.428513237949648","0.0631419612534281",,"3.31453864847391",,"4.67257333333333","12.1388323161662",,"0.126283922506856",,,,,"38","4","4",,"264"
"CHS","42.8x2.0","2.01237859018348","0.256353960532927","0.0534703090879579",,"2.49861257420364",,"3.33194666666667","14.4422989859648",,"0.106940618175916",,,,,"42.8","2","2",,"266"
"CHS","42.8x2.5","2.484646359816","0.316515459849171","0.0645034768513123",,"3.01418116127627",,"4.06543333333333","14.2755910560649",,"0.129006953702625",,,,,"42.8","2.5","2.5",,"267"
"CHS","42.8x3.0","2.94458337828318","0.375106162838621","0.0746948902060546",,"3.49041543018947",,"4.76112","14.1113429552258",,"0.149389780412109",,,,,"42.8","3","3",,"268"
"CHS","42.8x4.0","3.82746516172152","0.487575179837136","0.0927270477014265",,"4.33303961221619",,"6.04309333333333","13.7905764926634",,"0.185454095402853",,,,,"42.8","4","4",,"269"
"CHS","48.4x2.0","2.28858741628709","0.291539798253133","0.0786049604050096",,"3.24813885971114",,"4.30858666666667","16.4201096220458",,"0.157209920810019",,,,,"48.4","2","2",,"271"
"CHS","48.4x2.5","2.82990739244552","0.360497756999429","0.0952191738006516",,"3.93467660333271",,"5.27223333333333","16.2521537034327",,"0.190438347601303",,,,,"48.4","2.5","2.5",,"272"
"CHS","48.4x3.0","3.3588966174386","0.42788491941893","0.110723780598036",,"4.57536283462961",,"6.19248","16.0863296000051",,"0.221447561196073",,,,,"48.4","3","3",,"273"
"CHS","48.4x3.5","3.87555509126634","0.493701285511636","0.125169321168979",,"5.17228599871813",,"7.07032666666667","15.9227039161067",,"0.250338642337958",,,,,"48.4","3.5","3.5",,"274"
"CHS","48.4x4.0","4.37988281392875","0.557946855277547","0.138605157788048",,"5.72748585901026",,"7.90677333333333","15.7613451202618",,"0.277210315576097",,,,,"48.4","4","4",,"275"
"CHS","60.3x2.0","2.87701086189712","0.366498198967786","0.156054424604232",,"5.17336066979055",,"6.80744446666666","20.6348882357041",,"0.312108849208464",,,,,"60.3","2","2",,"277"
"CHS","60.3x2.5","3.56358708678324","0.453960138443725","0.189930679972951",,"6.29952504056222",,"8.35730833333333","20.4544921716478",,"0.379861359945902",,,,,"60.3","2.5","2.5",,"278"
"CHS","60.3x3.0","4.24153178585363","0.540322520490909","0.222594568262841",,"7.37923315971627",,"9.8691867","20.2969483543709",,"0.445189136525683",,,,,"60.3","3","3",,"279"
"CHS","60.3x3.5","4.90529612108388","0.624878486762278","0.253224109858537",,"8.39463317946417",,"11.3180628166667","20.1305082524014",,"0.506448219717074",,,,,"60.3","3.5","3.5",,"280"
"CHS","60.3x4.0","5.55672970514879","0.707863656706852","0.282178246630512",,"9.35449184917992",,"12.7136089333333","19.9658110904616",,"0.564356493261025",,,,,"60.3","4","4",,"281"
"CHS","60.3x4.5","6.19583253804836","0.789278030324632","0.309519217456227",,"10.2608724500655",,"14.05682505","19.802900355756",,"0.619038434912454",,,,,"60.3","4.5","4.5",,"282"
"CHS","63.5x2.0","3.03336478667363","0.386415896391545","0.182883398464061",,"5.76010703823814",,"7.56716666666667","21.755028154429",,"0.365766796928122",,,,,"63.5","2","2",,"284"
"CHS","63.5x2.5","3.76087910542868","0.479092879672443","0.223212366969889",,"7.03031077070517",,"9.30770833333333","21.5848615932556",,"0.446424733939778",,,,,"63.5","2.5","2.5",,"285"
"CHS","63.5x3.0","4.4760626730184","0.570199066626548","0.261525365652432",,"8.23701939062779",,"10.98975","21.4162613450621",,"0.523050731304865",,,,,"63.5","3","3",,"286"
"CHS","63.5x3.5","5.17891548944277","0.659734457253857","0.297890724151905",,"9.38238501265844",,"12.6142916666667","21.2492646931606",,"0.595781448303811",,,,,"63.5","3.5","3.5",,"287"
"CHS","63.5x4.0","5.86943755470181","0.747699051554371","0.332375594011279",,"10.4685226460245",,"14.1823333333333","21.0839097417912",,"0.664751188022558",,,,,"63.5","4","4",,"288"
"CHS","63.5x4.5","6.54762886879551","0.83409284952809","0.365045948676278",,"11.4975101945284",,"15.694875","20.9202354193255",,"0.730091897352556",,,,,"63.5","4.5","4.5",,"289"
"CHS","76.2x2.5","4.54388180442777","0.57883844642392","0.393461092668312",,"10.3270627996932",,"13.5844333333333","26.071871816193",,"0.786922185336623",,,,,"76.2","2.5","2.5",,"291"
"CHS","76.2x3.0","5.4156659118173","0.689893746728319","0.462853164148763",,"12.1483770117786",,"16.08372","25.9018339119067",,"0.925706328297526",,,,,"76.2","3","3",,"292"
"CHS","76.2x3.5","6.2751192680415","0.799378250705924","0.529342282280583",,"13.8934982225875",,"18.5128066666667","25.7331012511124",,"1.05868456456117",,,,,"76.2","3.5","3.5",,"293"
"CHS","76.2x4.0","7.12224187310036","0.907291958356733","0.593010560441753",,"15.5645816388911",,"20.8726933333333","25.5656996774976",,"1.18602112088351",,,,,"76.2","4","4",,"294"
"CHS","76.2x4.5","7.95703372699386","1.01363486968075","0.653938933913011",,"17.1637515462733",,"23.16438","25.3996555094749",,"1.30787786782602",,,,,"76.2","4.5","4.5",,"295"
"CHS","76.2x5.0","8.77949482972203","1.11840698467797","0.712207159877852",,"18.69310130913",,"25.3888666666667","25.2349955419057",,"1.4244143197557",,,,,"76.2","5","5",,"296"
"CHS","76.2x6.0","10.3874247816824","1.32323882569202","0.821076307536027",,"21.5505592529141",,"29.64024","24.9099377759159",,"1.64215261507205",,,,,"76.2","6","6",,"297"
"CHS","88.9x2.5","5.32688450342685","0.678584013175395","0.633730458134518",,"14.2571531638812",,"18.6676083333333","30.5597979378137",,"1.26746091626904",,,,,"88.9","2.5","2.5",,"299"
"CHS","88.9x3.0","6.3552691506162","0.80958842683009","0.74763568445245",,"16.8197004376254",,"22.14543","30.3887520309736",,"1.4952713689049",,,,,"88.9","3","3",,"300"
"CHS","88.9x3.5","7.37132304664022","0.93902204415799","0.857492628951527",,"19.291172754815",,"25.5403516666667","30.2188062305578",,"1.71498525790305",,,,,"88.9","3.5","3.5",,"301"
"CHS","88.9x4.0","8.37504619149889","1.06688486515909","0.963398366844743",,"21.6737540347524",,"28.8533733333333","30.0499792013239",,"1.92679673368949",,,,,"88.9","4","4",,"302"
"CHS","88.9x4.5","9.36643858519222","1.1931768898334","1.06544879524785",,"23.969601692865",,"32.085495","29.8822899055611",,"2.1308975904957",,,,,"88.9","4.5","4.5",,"303"
"CHS","88.9x5.0","10.3455002277202","1.31789811818092","1.16373863317935",,"26.1808466407053",,"35.2377166666667","29.7157576043418",,"2.3274772663587",,,,,"88.9","5","5",,"304"
"CHS","88.9x6.0","12.2666312592802","1.56262818589556","1.34940952321535",,"30.3579195324037",,"41.30646","29.3862425294559",,"2.69881904643069",,,,,"88.9","6","6",,"305"
"CHS","101.6x2.5","6.10988720242594","0.778329579926872","0.95608643521452",,"18.8205991183961",,"24.5572333333333","35.0482881179666",,"1.91217287042904",,,,,"101.6","2.5","2.5",,"307"
